Species,CommonName,TaxonomicGrouping,FilterRegion,FilterSubRegion,ManagementBody,ManagementPlan,DistributionProjectName
Anasimus latus,Stilt spider crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Anchoa hepsetus,Striped anchovy,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Anchoa mitchilli,Bay anchovy,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Ancylopsetta dilecta,Three-eye flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Ancylopsetta quadrocellata,Ocellated flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Apogon pseudomaculatus,Twospot cardinalfish,"Kurtiformes (Nurseryfishes, cardinalfishes.)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Apogon quadrisquamatus,Sawcheek cardinalfish,"Kurtiformes (Nurseryfishes, cardinalfishes.)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Arbacia punctulata,Purple-spined sea urchin,"Echinoidea (sea urchins, sand dollars)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Argopecten gibbus,Calico scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Ariopsis felis,Hardhead catfish,Siluriformes (catfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Astropecten articulatus,Royal sea star,Asteroidea (starfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Astropecten cingulatus,NA,Asteroidea (starfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Astropecten duplicatus,Two-spined star fish,Asteroidea (starfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Astropecten karankawai,NA,Asteroidea (starfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Astropecten mcedwardi,NA,Asteroidea (starfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Balistes capriscus,Gray triggerfish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Bellator militaris,Horned searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Bollmannia communis,Ragged goby,Gobiiformes (Gobies),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Bothus robinsi,Twospot flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Brevoortia patronus,Gulf menhaden,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,GSMFC,Gulf Menhaden Fishery Regional Management Plan,Not for IDW
Brotula barbata,Bearded brotula,Ophidiiformes (Cusk eels),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Calamus arctifrons,Grass porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Calamus nodosus,Knobbed porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Calamus proridens,Littlehead porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Calappa flammea,Flame box crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Calappa sulcata,Yellow box crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Callinectes sapidus,Blue crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Callinectes similis,Lesser blue crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Caranx crysos,Blue runner,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Centropristis ocyurus,Bank sea bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Centropristis philadelphica,Rock sea bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Chaetodipterus faber,Atlantic spadefish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Chaetodon ocellatus,Spotfin butterflyfish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Chaetodon sedentarius,Reef butterflyfish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Chilomycterus schoepfii,Striped burrfish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Chloroscombrus chrysurus,Atlantic bumper,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Chrysaora quinquecirrha,Sea nettle,"Cnidaria (jellyfish, corals, anenomes)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Citharichthys macrops,Spotted whiff,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Citharichthys spilopterus,Bay whiff,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Coryrhynchus sidneyi,Shortfinger neck crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Cyclopsetta chittendeni,Mexican flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Cyclopsetta fimbriata,Spotfin flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Cynoscion arenarius,Sand weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Cynoscion nothus,Silver seatrout,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Decapterus punctatus,Round scad,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Diplectrum bivittatum,Dwarf sand perch,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Diplectrum formosum,Sand perch,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Doryteuthis sp,Inshore Squid sp.,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,GMFMC,NA,NMFS/Rutgers IDW Interpolation
Echiophis intertinctus,Spotted spoon-nose eel,Anguilliformes (Eels and morays),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Encope aberrans,NA,"Echinoidea (sea urchins, sand dollars)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Engyophrys senta,Spiny flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Epinephelus morio,Red grouper,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Eques lanceolatus,Jackknife-fish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Etropus crossotus,Fringed flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Etropus rimosus,Gray flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Eucidaris tribuloides,Slate pencil urchin,"Echinoidea (sea urchins, sand dollars)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Eucinostomus gula,Silver jenny,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Eucinostomus harengulus,Tidewater mojarra,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Euphrosynoplax clausa,Craggy bathyal crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Euvola marensis,Paper scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Euvola raveneli,Round rib scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Fowlerichthys radiosus,Singlespot frogfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Gastropsetta frontalis,Shrimp flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Gymnothorax saxicola,Honeycomb moray,Anguilliformes (Eels and morays),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Haemulon aurolineatum,Tomtate grunt,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Haemulon plumierii,White grunt,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Halieutichthys sp,Batfishes,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Harengula jaguana,Scaled sardine,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Hepatus epheliticus,Calico box crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Hippocampus erectus,Lined seahorse,Syngnathiformes (Seahorses),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Holacanthus bermudensis,Blue angelfish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Iliacantha liodactylus,NA,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Kathetostoma albigutta,Lancer stargazer,Perciformes/Uranoscopoidei (Sand dwellers),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Laevicardium mortoni,Yellow eggcockle,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Lagocephalus laevigatus,Smooth puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Lagodon rhomboides,Pinfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Larimus fasciatus,Banded drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Leiolambrus nitidus,White elbow crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Leiostomus xanthurus,Spot,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Lepophidium brevibarbe,Blackedge cusk-eel,Ophidiiformes (Cusk eels),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Lepophidium jeannae,Mottled cusk-eel,Ophidiiformes (Cusk eels),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Lolliguncula brevis,Atlantic brief squid,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Luidia alternata,Banded sea star,Asteroidea (starfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Luidia clathrata,Lined sea star,Asteroidea (starfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Luidia lawrencei,NA,Asteroidea (starfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Lutjanus campechanus,Red snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Lutjanus griseus,Gray snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Lutjanus synagris,Lane snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Lytechinus variegatus,Variegated sea urchin,"Echinoidea (sea urchins, sand dollars)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Lytechinus variegatus carolinus,NA,"Echinoidea (sea urchins, sand dollars)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Menticirrhus americanus,Southern kingfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Metapenaeopsis goodei,Caribbean velvet shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Micropogonias undulatus,Atlantic croaker,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Mithrax pleuracanthus,Shaggy clinging crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Monacanthus ciliatus,Fringed filefish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Moreiradromia antillensis,Hairy sponge crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Mullus auratus,Red goatfish,Mulliformes (Goatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Myropsis quinquespinosa,Fivespine purse crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Nicholsina usta,Emerald parrotfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Octopus joubini,Atlantic pygmy octopus,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Octopus vulgaris,Common octopus,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Ogcocephalus corniger,Longnose batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Ogcocephalus cubifrons,NA,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Ogcocephalus declivirostris,Slantbrow batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Ogcocephalus pantostictus,Spotted batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Ogcocephalus parvus,Roughback batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Ogcocephalus radiatus,Polka-dot batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Ophidion antipholus,Longnose cusk-eel,Ophidiiformes (Cusk eels),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Ophidion holbrookii,Bank cusk-eel,Ophidiiformes (Cusk eels),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Ophiolepis elegans,Elegant brittle star,Ophiuroidea (brittle stars),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Ophiothrix (Ophiothrix) angulata,Angular brittle star,Ophiuroidea (brittle stars),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Opisthonema oglinum,Atlantic thread herring,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Orthopristis chrysoptera,Pigfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Ovalipes floridanus,Florida lady crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Pagrus pagrus,Red porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,Not for IDW
Paguristes sericeus,Blue-eyed hermit,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Paralichthys albigutta,Gulf flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Paralichthys lethostigma,Southern flounder,Pleuronectiformes (Flatfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Parapenaeus politus,Rose shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Pareques umbrosus,Cubbyu,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Penaeus aztecus,Brown shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Penaeus aztecus,Brown shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Penaeus duorarum,Pink shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Penaeus duorarum,Pink shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Penaeus setiferus,Northern white shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Penaeus setiferus,Northern white shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan,NMFS/Rutgers IDW Interpolation
Peprilus burti,Gulf butterfish,Scombriformes (Mackerels),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Peprilus paru,Harvestfish,Scombriformes (Mackerels),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Pitarenus cordatus,Corded pitar,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Platylambrus granulatus,Bladetooth elbow crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Polydactylus octonemus,Atlantic threadfin,"Carangaria/misc (barracuda, threadfins)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Polystira albida,White giant-turris,Gastropoda (sea snails and slugs),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Porichthys plectrodon,Atlantic midshipman,Batrachoidiformes (Toadfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Priacanthus arenatus,Atlantic bigeye,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Prionotus alatus,Spiny searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus longispinosus,Bigeye searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus martis,Gulf of mexico barred searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Prionotus ophryas,Bandtail searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus paralatus,Mexican searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus roseus,Bluespotted searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus rubio,Blackwing searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus scitulus,Leopard searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Prionotus stearnsi,Shortwing searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Prionotus tribulus,Bighead searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Pristigenys alta,Short bigeye,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Pristipomoides aquilonaris,Wenchman,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Pseudorhombila quadridentata,Flecked squareback crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Raninoides louisianensis,Gulf frog crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Renilla muelleri,Mueller's sea pansy,"Cnidaria (jellyfish, corals, anenomes)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Elasmobranchii: Selachii (sharks),Gulf of Mexico,Gulf of Mexico,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,NMFS/Rutgers IDW Interpolation
Rhomboplites aurorubens,Vermilion snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
Rhynchoconger flavus,Yellow conger,Anguilliformes (Eels and morays),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Rostroraja eglanteria,Clearnose skate,"Elasmobranchii: Batoidea (skates, rays)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Rostroraja texana,Roundel skate,"Elasmobranchii: Batoidea (skates, rays)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Rypticus maculatus,Whitespotted soapfish,Perciformes/Percoidei (bony fishes),Gulf of Mexico,Gulf of Mexico,NA,NA,Not for IDW
Sardinella aurita,Spanish sardine,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Saurida brasiliensis,Largescale lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Saurida normani,Shortjaw lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Scomberomorus maculatus,Spanish mackerel,Scombriformes (Mackerels),Gulf of Mexico,Gulf of Mexico,GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,Not for IDW
Scorpaena agassizii,Longfin scorpionfish,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Scorpaena brasiliensis,Barbfish,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Scorpaena calcarata,Smoothhead scorpionfish,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Scyllarides nodifer,Ridged slipper lobster,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Scyllarus chacei,Chace slipper lobster,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Selene setapinnis,Atlantic moonfish,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
Serranus atrobranchus,Blackear bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,NA,NA,NMFS/Rutgers IDW Interpolation
