spp,common,FilterRegion,FilterSubRegion,Taxonomic.Grouping,Management.Body,Management.Plan
Ogcocephalus declivirostris,Slantbrow batfish,Gulf of Mexico,Gulf of Mexico,Lophiiformes (Anglerfishes),,
Ogcocephalus parvus,Roughback batfish,Gulf of Mexico,Gulf of Mexico,Lophiiformes (Anglerfishes),,
Oncorhynchus tshawytscha,Chinook salmon,US West Coast,West Coast,Salmoniformes (Salmons),PFMC,Pacific Coast Salmon
Ophidion holbrookii,Bank cusk-eel,Gulf of Mexico,Gulf of Mexico,Ophidiiformes (Cusk eels) ,,
Ophiodon elongatus,Lingcod,Alaska,Gulf of Alaska,Perciformes/Cottoidei (sculpins),,
Ophiodon elongatus,Lingcod,US West Coast,West Coast,Perciformes/Cottoidei (sculpins),PFMC,Pacific Coast Groundfish
Ophiolepis elegans,Elegant brittle star,Gulf of Mexico,Gulf of Mexico,Ophiuroidea (brittle stars),,
Ophiopholis aculeata,Daisy brittle star,Alaska,Aleutian Islands,Ophiuroidea (brittle stars),,
Ophiura sarsii,Notched brittle star,Alaska,Northern Bering Sea,Ophiuroidea (brittle stars),,
Ophiura sarsii,Notched brittle star,Alaska,Gulf of Alaska,Ophiuroidea (brittle stars),,
Opisthonema oglinum,Atlantic thread herring,Gulf of Mexico,Gulf of Mexico,"Clupeiformes (Herrings, anchovy, shad)",,
Opisthonema oglinum,Atlantic thread herring,US East Coast,Southeast,"Clupeiformes (Herrings, anchovy, shad)",,
Opisthoteuthis californiana,Flapjack octopus,US West Coast,West Coast,"Cephalopoda (squid, octopus)",,
Oregonia gracilis,Graceful decorator crab,Alaska,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),,
Oregonia gracilis,Graceful decorator crab,Alaska,Eastern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Oregonia gracilis,Graceful decorator crab,Alaska,Gulf of Alaska,Decapoda (Crabs/Lobster/Shrimp),,
Orthopristis chrysoptera,Pigfish,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Orthopristis chrysoptera,Pigfish,US East Coast,Southeast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Osmerus mordax,Rainbow smelt,Alaska,Northern Bering Sea,"Osmeriformes (caplin, freshwater smelt)",,
Ovalipes ocellatus,Ocellate lady crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Ovalipes stephensoni,Coarsehand lady crab,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Pagurus aleuticus,Aleutian hermit,Alaska,Eastern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Pagurus aleuticus,Aleutian hermit,Alaska,Gulf of Alaska,Decapoda (Crabs/Lobster/Shrimp),,
Pagurus brandti,Sponge hermit,Alaska,Aleutian Islands,Decapoda (Crabs/Lobster/Shrimp),,
Pagurus capillatus,Hairy hermit crab,Alaska,Northern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Pagurus ochotensis,Alaskan hermit crab,Alaska,Eastern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
