"","spp","common","FilterSubRegion","Taxonomic.Grouping","FilterRegion","Management.Body","Management.Plan","DistributionProjectName"
"1","Abietinaria sp. A (Clark 2006)","white tangled hydroid","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"2","Albatrossia pectoralis","Giant grenadier","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"3","Amphisbetia greenei","Fibre optic hydroid","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"4","Anoplopoma fimbria","Sablefish","Aleutian Islands","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"5","Aphrocallistes vastus","Cloud sponge","Aleutian Islands","Porifera (sponges)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"6","Aplidium soldatovi","Sand-grain imbedded ascidian","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"7","Aplidium sp. A (Clark 2006)","sea glob","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"8","Aptocyclus ventricosus","Smooth lumpsucker","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"9","Arctoraja parmifera","Alaska skate","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"10","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Aleutian Islands","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"11","Axinella blanca","Firm finger sponge","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"12","Bathymaster signatus","Searcher","Aleutian Islands","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"13","Bathyraja spp.","Skate complex","Aleutian Islands","Elasmobranchi:Batoidea (skates, rays) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"14","Berryteuthis magister","Magister armhook squid","Aleutian Islands","Cephalopoda (squid, octopus)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"15","Bonneviella sp. A (Clark 2006)","champagne flute hydroid","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"16","Calcigorgia spiculifera","Pink gorgonian","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"17","Callogorgia compressa",NA,"Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"18","Careproctus rastrinus","Salmon snailfish","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"19","Careproctus sp. cf. melanurus (Orr et al.)","scorched snailfish","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"20","Ceramaster japonicus","Red cookie star","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"21","Ceramaster patagonicus","Cookie star","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"22","Cheiraster (Luidiaster) dawsoni",NA,"Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"23","Chionoecetes bairdi","Tanner crab","Aleutian Islands","Decapoda (Crabs/Lobster/Shrimp)","Alaska","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"24","Chirona evermanni","Deepwater giant barnacle","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"25","Chlamys albida","White scallop","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"26","Chlamys rubida","Reddish scallop","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"27","Chrysaora melanaster",NA,"Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"28","Cladocroce attu","Rough hat sponge","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"29","Crossaster papposus","Common sunstar","Aleutian Islands","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"30","Cucumaria fallax","Sea football","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"31","Cucumaria frondosa","Orange footed sea cucumber","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"32","Diplopteraster multipes","Pincushion star","Aleutian Islands","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"33","Elassochirus cavimanus","Purple hermit","Aleutian Islands","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"34","Elassochirus tenuimanus","Widehand hermit","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"35","Enteroctopus dofleini","North pacific giant octopus","Aleutian Islands","Cephalopoda (squid, octopus)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"36","Erimacrus isenbeckii","Hair crab","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"37","Eucratea loricata","Feathery bryozoan","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"38","Eumicrotremus orbis","Pacific spiny lumpsucker","Aleutian Islands","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"39","Eunoe nodosa","Giant scale worm","Aleutian Islands",NA,NA,NA,NA,"Not for IDW"
"40","Fusitriton oregonensis","Oregon triton","Aleutian Islands","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"41","Gadus chalcogrammus","Walleye pollock","Aleutian Islands","Gadiformes (Cods, genadiers, pollock) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
