"","spp","common","FilterSubRegion","Taxonomic.Grouping","FilterRegion","Management.Body","Management.Plan","DistributionProjectName"
"156","Crangon dalli","Ridged crangon","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"157","Crossaster papposus","Common sunstar","Eastern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"158","Cryptonatica russa","Russty moonsnail","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"159","Ctenodiscus crispatus","Mud star","Eastern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"160","Cucumaria fallax","Sea football","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"161","Cyanea capillata","Lion's mane","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"162","Dasycottus setiger","Spinyhead sculpin","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"163","Echinarachnius parma","Common sand dollar","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"164","Elassochirus cavimanus","Purple hermit","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"165","Eleginus gracilis","Saffron cod","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"166","Enteroctopus dofleini","North pacific giant octopus","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"167","Erimacrus isenbeckii","Hair crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"168","Eunoe depressa","Depressed scale worm","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"169","Eunoe nodosa","Giant scale worm","Eastern Bering Sea","Polychaeta (brittle worms) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"170","Euspira pallida","Pale moonsnail","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"171","Evasterias echinosoma","Giant sea star","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"172","Fusitriton oregonensis","Oregon triton","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"173","Gadus chalcogrammus","Walleye pollock","Eastern Bering Sea","Gadiformes (Cods, genadiers, pollock) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"174","Gadus macrocephalus","Pacific cod","Eastern Bering Sea","Gadiformes (Cods, genadiers, pollock) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"175","Gersemia rubiformis","Sea strawberry","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"176","Glebocarcinus oregonensis","Pygmy rock crab","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"177","Glyptocephalus zachirus","Rex sole","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"178","Gorgonocephalus eucnemis","Basket star","Eastern Bering Sea","Ophiuroidea (brittle stars)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"179","Gymnocanthus galeatus","Armorhead sculpin","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"180","Gymnocanthus pistilliger","Threaded sculpin","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"181","Halocynthia aurantium","Sea peach","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"182","Hemilepidotus jordani","Yellow irish lord","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"183","Hemilepidotus papilio","Butterfly sculpin","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"184","Hemitripterus bolini","Bigmouth sculpin","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"185","Hexagrammos stelleri","Whitespotted greenling","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"186","Hiatella arctica","Arctic hiatella","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"187","Hippoglossoides elassodon and H. robustus","Flathead sole-bering flounder","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"188","Hippoglossus stenolepis","Pacific halibut","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Species Managed Under International Agreement - IPHC","NMFS/Rutgers IDW Interpolation"
"189","Hyas coarctatus","Arctic lyre crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"190","Hyas lyratus","Pacific lyre crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"191","Icelus spatula","Spatulate sculpin","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"192","Icelus spiniger","Thorny sculpin","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"193","Isopsetta isolepis","Butter sole","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"194","Labidochirus splendescens","Splendid hermit","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"195","Lepidopsetta sp.","Rock soles","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"196","Leptasterias (Hexasterias) polaris","Polar six-rayed star","Eastern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"197","Leptasterias arctica","Arctic star","Eastern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"198","Leptasterias groenlandica","Greenland star","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"199","Leptoclinus maculatus","Daubed shanny","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"200","Lethasterias nanimensis","Black spined sea star","Eastern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"201","Limanda aspera","Yellowfin sole","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"202","Limanda sakhalinensis","Sakhalin sole","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"203","Liparis gibbus","Variegated snailfish","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"204","Liponema brevicorne","Tentacle shedding anemone","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"205","Lumpenus sagitta","Snake prickleback","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"206","Lycodes brevipes","Shortfin eelpout","Eastern Bering Sea","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"207","Lycodes palearis","Wattled eelpout","Eastern Bering Sea","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"208","Lycodes raridens","Marbled eelpout","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"209","Mactromeris polynyma","Arctic surfclam","Eastern Bering Sea","Bivalvia (clams, muscles, oyster, arks, etc)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"210","Mallotus villosus","Capelin","Eastern Bering Sea","Osmeriformes (caplin, freshwater smelt)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"211","Megangulus luteus","Alaskan great tellin","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"212","Metridium farcimen","Giant plumose anemone","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"213","Musculus discors","Discordant mussel","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"214","Myoxocephalus jaok","Plain sculpin","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"215","Myoxocephalus polyacanthocephalus","Great sculpin","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"216","Myoxocephalus scorpius","Shorthorn sculpin","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"217","Myzopsetta proboscidea","Longhead dab","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"218","Neocrangon communis","Gray shrimp","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"219","Neptunea borealis",NA,"Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"220","Neptunea heros","Northern neptune whelk","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"221","Neptunea lyrata","Lyre whelk","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"222","Neptunea pribiloffensis","Pribilof whelk","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"223","Neptunea ventricosa","Fat whelk","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"224","Occella dodecaedron","Bering poacher","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"225","Ophiura sarsii","Notched brittle star","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"226","Oregonia gracilis","Graceful decorator crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"227","Pagurus aleuticus","Aleutian hermit","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"228","Pagurus brandti","Sponge hermit","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"229","Pagurus capillatus","Hairy hermit crab","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"230","Pagurus confragosus","Knobbyhand hermit","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"231","Pagurus ochotensis","Alaskan hermit crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"232","Pagurus rathbuni","Longfinger hermit","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"233","Pagurus trigonocheirus","Fuzzy hermit","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"234","Pandalus eous","Northern shrimp","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"235","Pandalus goniurus","Humpy shrimp","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"236","Paralithodes camtschaticus","Red king crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"237","Paralithodes platypus","Blue king crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"238","Patinopecten caurinus","Weathervane scallop","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"239","Platichthys stellatus","Starry flounder","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"240","Pleuronectes quadrituberculatus","Alaska plaice","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"241","Plicifusus kroyeri","Arctic whelk","Eastern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"242","Podothecus accipenserinus","Sturgeon poacher","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"243","Pteraster obscurus","Obscure cushion star","Eastern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"244","Pyrulofusus deformis","Warped whelk","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"245","Pyrulofusus melonis","Giant melon whelk","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"246","Reinhardtius hippoglossoides","Greenland halibut","Eastern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"247","Rhamphostomella costata","Ribbed bryozoan","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"248","Sarritor frenatus","Sawback poacher","Eastern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"249","Serratiflustra serrulata","Leafy bryozoan","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"250","Serripes groenlandicus","Greenland cockle","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"251","Serripes notabilis","Oblique smoothcockle","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"252","Siliqua alta","Alaska razor","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"253","Stomphia coccinea","Swimming anemone","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"254","Strongylocentrotus droebachiensis","Green sea urchin","Eastern Bering Sea","Echinoidea (sea urchins, sand dollars) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"255","Styela rustica","Sea potato","Eastern Bering Sea","Tunicata (sea squirts, tunicates, salps) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"256","Telmessus cheiragonus","Helmet crab","Eastern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"257","Thaleichthys pacificus","Eulachon","Eastern Bering Sea","Osmeriformes (caplin, freshwater smelt)","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"258","Triglops pingelii","Ribbed sculpin","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"259","Tritonia tetraquetra","Large orange peel nudibranch","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"260","Urticina crassicornis","Mottled anemone","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"261","Volutopsius fragilis","Fragile whelk","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"262","Volutopsius middendorffi","Tulip whelk","Eastern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"263","Acantholumpenus mackayi","Pighead prickleback","Northern Bering Sea","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"264","Alcyonidium enteromorpha","Noodle bryozoan","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"265","Alcyonidium pedunculatum","Smooth leather bryozoan","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"266","Arctoraja parmifera","Alaska skate","Northern Bering Sea","Elasmobranchi:Batoidea (skates, rays) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"267","Argis dentata","Arctic argid","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"268","Aspidophoroides olrikii","Arctic alligatorfish","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"269","Asterias amurensis","North pacific seastar","Northern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"270","Atheresthes stomias and A. evermanni","Arrowtooth and kamchatka flounders","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"271","Boltenia ovifera","Stalked sea squirt","Northern Bering Sea","Tunicata (sea squirts, tunicates, salps) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"272","Boreogadus saida","Arctic cod","Northern Bering Sea","Gadiformes (Cods, genadiers, pollock) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"273","Buccinum angulosum","Angular whelk","Northern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"274","Buccinum plectrum","Sinuous whelk","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"275","Buccinum polare","Polar whelk","Northern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"276","Buccinum scalariforme","Ladder whelk","Northern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"277","Chionoecetes opilio","Snow crab","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"278","Chirona evermanni","Deepwater giant barnacle","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"279","Chrysaora melanaster",NA,"Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"280","Clupea pallasii","Pacific herring","Northern Bering Sea","Clupeiformes (Herrings, anchovy, shad)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"281","Crangon septemspinosa","Sevenspine bay shrimp","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"282","Crossaster papposus","Common sunstar","Northern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"283","Cryptonatica russa","Russty moonsnail","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"284","Cyanea capillata","Lion's mane","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"285","Echinarachnius parma","Common sand dollar","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"286","Eleginus gracilis","Saffron cod","Northern Bering Sea","Gadiformes (Cods, genadiers, pollock) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"287","Enophrys diceraus","Antlered sculpin","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"288","Erimacrus isenbeckii","Hair crab","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"289","Eunoe depressa","Depressed scale worm","Northern Bering Sea","Polychaeta (brittle worms) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"290","Eunoe nodosa","Giant scale worm","Northern Bering Sea","Polychaeta (brittle worms) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"291","Euspira pallida","Pale moonsnail","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"292","Evasterias echinosoma","Giant sea star","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"293","Gadus chalcogrammus","Walleye pollock","Northern Bering Sea","Gadiformes (Cods, genadiers, pollock) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"294","Gadus macrocephalus","Pacific cod","Northern Bering Sea","Gadiformes (Cods, genadiers, pollock) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"295","Gersemia rubiformis","Sea strawberry","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"296","Gorgonocephalus eucnemis","Basket star","Northern Bering Sea","Ophiuroidea (brittle stars)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"297","Gymnocanthus pistilliger","Threaded sculpin","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"298","Gymnocanthus tricuspis","Arctic staghorn sculpin","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"299","Halocynthia aurantium","Sea peach","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"300","Hemilepidotus papilio","Butterfly sculpin","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"301","Hexagrammos stelleri","Whitespotted greenling","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"302","Hiatella arctica","Arctic hiatella","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"303","Hippoglossoides elassodon and H. robustus","Flathead sole-bering flounder","Northern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"304","Hippoglossus stenolepis","Pacific halibut","Northern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"305","Hyas coarctatus","Arctic lyre crab","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"306","Labidochirus splendescens","Splendid hermit","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"307","Lepidopsetta sp.","Rock soles","Northern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"308","Leptasterias (Hexasterias) polaris","Polar six-rayed star","Northern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"309","Leptasterias arctica","Arctic star","Northern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"310","Leptasterias groenlandica","Greenland star","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"311","Lethasterias nanimensis","Black spined sea star","Northern Bering Sea","Asteroidea (starfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"312","Limanda aspera","Yellowfin sole","Northern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"313","Limanda sakhalinensis","Sakhalin sole","Northern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"314","Liparis gibbus","Variegated snailfish","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"315","Liparis tunicatus","Kelp snailfish","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"316","Lumpenus fabricii","Slender eelblenny","Northern Bering Sea","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"317","Lumpenus sagitta","Snake prickleback","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"318","Lycodes palearis","Wattled eelpout","Northern Bering Sea","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"319","Lycodes raridens","Marbled eelpout","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"320","Lycodes turneri","Polar eelpout","Northern Bering Sea","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"321","Mactromeris polynyma","Arctic surfclam","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"322","Mallotus villosus","Capelin","Northern Bering Sea","Osmeriformes (caplin, freshwater smelt)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"323","Metridium farcimen","Giant plumose anemone","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"324","Modiolus modiolus","Northern horsemussel","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"325","Musculus discors","Discordant mussel","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"326","Myoxocephalus jaok","Plain sculpin","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"327","Myoxocephalus polyacanthocephalus","Great sculpin","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"328","Myoxocephalus scorpius","Shorthorn sculpin","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"329","Myzopsetta proboscidea","Longhead dab","Northern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"330","Nautichthys pribilovius","Eyeshade sculpin","Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"331","Neptunea borealis",NA,"Northern Bering Sea",NA,NA,NA,NA,"Not for IDW"
"332","Neptunea heros","Northern neptune whelk","Northern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"333","Neptunea ventricosa","Fat whelk","Northern Bering Sea","Gastropoda (sea snails and slugs)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"334","Occella dodecaedron","Bering poacher","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"335","Ophiura sarsii","Notched brittle star","Northern Bering Sea","Ophiuroidea (brittle stars)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"336","Osmerus mordax","Rainbow smelt","Northern Bering Sea","Osmeriformes (caplin, freshwater smelt)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"337","Pagurus capillatus","Hairy hermit crab","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"338","Pagurus ochotensis","Alaskan hermit crab","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"339","Pagurus rathbuni","Longfinger hermit","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"340","Pagurus trigonocheirus","Fuzzy hermit","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"341","Pallasina barbata","Tubenose poacher","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"342","Pandalus goniurus","Humpy shrimp","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"343","Paralithodes camtschaticus","Red king crab","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"344","Paralithodes platypus","Blue king crab","Northern Bering Sea","Decapoda (Crabs/Lobster/Shrimp)","Alaska","","","NMFS/Rutgers IDW Interpolation"
"345","Platichthys stellatus","Starry flounder","Northern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"346","Pleuronectes quadrituberculatus","Alaska plaice","Northern Bering Sea","Pleuronectiformes (Flatfishes) ","Alaska","","","NMFS/Rutgers IDW Interpolation"
"347","Podothecus accipenserinus","Sturgeon poacher","Northern Bering Sea","Perciformes/Cottoidei (sculpins)","Alaska","","","NMFS/Rutgers IDW Interpolation"
