region,spp,common,remove
Gulf of Alaska,Crangon spp.,Shrimps,TRUE
Gulf of Alaska,Crossaster spp.,Sunstar,TRUE
Gulf of Alaska,Ctenophora,Na,TRUE
Gulf of Alaska,Decapodiformes spp.,Squids,TRUE
Gulf of Alaska,Echinacea spp.,Sea urchin,TRUE
Gulf of Alaska,Gastropoda spp.,Gastropods,TRUE
Gulf of Alaska,Henricia spp.,Sea star,TRUE
Gulf of Alaska,Hexactinellida spp.,Sea sponge,TRUE
Gulf of Alaska,Holothuroidea spp.,Sea cucumbers,TRUE
Gulf of Alaska,Hydroidolina,,TRUE
Gulf of Alaska,Isopoda spp.,"Pill bugs, wood lice and sea slaters",TRUE
Gulf of Alaska,Liparidae spp.,Snailfishes,TRUE
Gulf of Alaska,Macrouridae,,TRUE
Gulf of Alaska,Metridium spp.,Plumose anemones,TRUE
Gulf of Alaska,Myctophidae spp.,Lanternfishes,TRUE
Gulf of Alaska,Neptunea spp.,True whelks,TRUE
Gulf of Alaska,Nudibranchia spp.,Nudibranchs,TRUE
Gulf of Alaska,Octopodidae spp.,Octopuses,TRUE
Gulf of Alaska,Ophiuroidea spp.,Brittle stars,TRUE
Gulf of Alaska,Osmeridae spp.,Smelts,TRUE
Gulf of Alaska,Paguridae spp.,Right-handed hermit crabs,TRUE
Gulf of Alaska,Pagurus spp.,Hermit crabs,TRUE
Gulf of Alaska,Pandalus spp.,Shrimp,TRUE
Gulf of Alaska,Pennatulacea spp.,Sea panzies,TRUE
Gulf of Alaska,Polychaeta spp.,Polychaetes,TRUE
Gulf of Alaska,Polyplacophora spp.,Chitons,TRUE
Gulf of Alaska,Porifera spp.,Sponges,TRUE
Gulf of Alaska,Psolus spp.,Sea cucumber,TRUE
Gulf of Alaska,Pteraster spp.,Slime stars,TRUE
Gulf of Alaska,Scyphozoa spp.,Jellyfishes,TRUE
Gulf of Alaska,Sebastes spp.,Rockfishes,TRUE
Gulf of Alaska,Solaster spp.,Sea stars,TRUE
Gulf of Alaska,Stenobrachius sp.,Na,TRUE
Gulf of Alaska,Thaliacea spp.,Pelagic tunicates,TRUE
Gulf of Alaska,Thoracica spp.,Barnacles,TRUE
Gulf of Alaska,Tritonia spp.,Nudibranch,TRUE
Gulf of Alaska,Tunicata spp.,Tunicates,TRUE
Gulf of Mexico,Aplysia,Na,TRUE
Gulf of Mexico,Ascidiacea,Na,TRUE
Gulf of Mexico,Astropecten sp,Na,TRUE
Gulf of Mexico,Aurelia spp.,Moon jellies,TRUE
Gulf of Mexico,Bothus,Na,TRUE
Gulf of Mexico,Calliactis,Na,TRUE
Gulf of Mexico,Caretta caretta,Loggerhead sea turtle,TRUE
Gulf of Mexico,Clypeaster,Sea biscuits,TRUE
Gulf of Mexico,Conus,Na,TRUE
Gulf of Mexico,Cynoscion spp.,Weakfishes,TRUE
Gulf of Mexico,Echinaster,Na,TRUE
Gulf of Mexico,Eucinostomus spp.,Mojarras,TRUE
Gulf of Mexico,Holothuria,Na,TRUE
Gulf of Mexico,Holothuroidea spp.,Sea cucumbers,TRUE
Gulf of Mexico,Loligo spp.,Loligo squids,TRUE
Gulf of Mexico,Luidia,Na,TRUE
Gulf of Mexico,Molpadia,Na,TRUE
Gulf of Mexico,Ophidion,Na,TRUE
Gulf of Mexico,Ophiothrix,Na,TRUE
Gulf of Mexico,Opsanus,Na,TRUE
Gulf of Mexico,Polychaeta,Na,TRUE
Gulf of Mexico,Porifera spp.,Sponges,TRUE
Gulf of Mexico,Poriferball,Na,TRUE
Gulf of Mexico,Poriferbarrel,Na,TRUE
Gulf of Mexico,Poriferencoth,Na,TRUE
Gulf of Mexico,Poriferfinbra,Na,TRUE
Gulf of Mexico,Porifervastub,Na,TRUE
Gulf of Mexico,Sicyonia,Na,TRUE
Gulf of Mexico,Solenocera spp.,Shrimps,TRUE
Gulf of Mexico,Trachypeneus spp.,Trachypeneid shrimps,TRUE
Gulf of Mexico,Tunicata,Na,TRUE
Northeast US Fall,Macrouridae,,TRUE
Northeast US Fall,Myctophidae spp.,Lanternfishes,TRUE
Northeast US Spring,Macrouridae,,TRUE
Northeast US Spring,Myctophidae spp.,Lanternfishes,TRUE
Southeast US Fall,Caretta caretta,Loggerhead sea turtle,TRUE
