test.spp,region,exclude,contact_name,date,comment
CYNOSCION,Southeast US Fall,FALSE,Tracey Smart,3/29/2021,no comment
HYPOCONCHA SPINOSISSIMA,Southeast US Fall,FALSE,Tracey Smart,3/29/2021,no comment
LIMULUS POLYPHEMUS,Southeast US Fall,FALSE,Tracey Smart,3/29/2021,no comment
SPHOEROIDES SPENGLERI,Southeast US Fall,FALSE,Tracey Smart,3/29/2021,no comment
STOMOLOPHUS MELEAGRIS,Southeast US Fall,FALSE,Tracey Smart,3/29/2021,no comment
CARETTA CARETTA,Southeast US Fall,TRUE,,,
