test.spp,region,exclude,contact_name,date,comment
STOMOLOPHUS MELEAGRIS,Southeast US Summer,FALSE,Tracey Smart,3/29/2021,no comment
CARETTA CARETTA,Southeast US Summer,TRUE,,,
