test.spp,region,exclude,contact_name,date,comment
CANCER BOREALIS,Northeast US Fall,FALSE,Sean Lucey,3/30/2021,I am also not aware of any issues with the species you flagged.
CANCER IRRORATUS,Northeast US Fall,FALSE,Sean Lucey,3/30/2021,I am also not aware of any issues with the species you flagged.
LITHODES MAJA,Northeast US Fall,FALSE,Sean Lucey,3/30/2021,I am also not aware of any issues with the species you flagged.
SEPIOLIDAE,Northeast US Fall,TRUE,Melissa Karp,,
TRASH SPECIES IN CATCH,Northeast US Fall,TRUE,Melissa Karp ,,
