,DatasetCode,CSVFile,TransformUnit,TableName,GeographicArea,CellSize,PointFeatureType,FeatureClassName,Region,Season,DateCode,Status,DistributionProjectCode,DistributionProjectName,SummaryProduct,FilterRegion,FilterSubRegion,FeatureServiceName,FeatureServiceTitle,MosaicName,MosaicTitle,ImageServiceName,ImageServiceTitle
11,SEUS_SPR,SEUS_SPR_IDW.csv,cuberoot,SEUS_SPR_IDW,SEUS_SPR_IDW_Region,2000,Sample Locations,SEUS_SPR_IDW_Sample_Locations,Southeast US,Spring,20250601,Current,IDW,NMFS/Rutgers IDW Interpolation,Yes,US East Coast,Southeast US,SEUS_SPR_Sample_Locations_20250601,Southeast US Spring Sample Locations 20250601,SEUS_SPR_IDW_Mosaic,Southeast US Spring IDW 20250601,SEUS_SPR_IDW_20250601,Southeast US Spring IDW 20250601
12,SEUS_SUM,SEUS_SUM_IDW.csv,cuberoot,SEUS_SUM_IDW,SEUS_SUM_IDW_Region,2000,Sample Locations,SEUS_SUM_IDW_Sample_Locations,Southeast US,Summer,20250601,Current,IDW,NMFS/Rutgers IDW Interpolation,Yes,US East Coast,Southeast US,SEUS_SUM_Sample_Locations_20250601,Southeast US Summer Sample Locations 20250601,SEUS_SUM_IDW_Mosaic,Southeast US Summer IDW 20250601,SEUS_SUM_IDW_20250601,Southeast US Summer IDW 20250601
13,WC_ANN,WC_ANN_IDW.csv,cuberoot,WC_ANN_IDW,WC_ANN_IDW_Region,2000,Sample Locations,WC_ANN_IDW_Sample_Locations,West Coast,Annual,20250601,Current,IDW,NMFS/Rutgers IDW Interpolation,Yes,US West Coast,West Coast,WC_ANN_Sample_Locations_20250601,West Coast Annual Sample Locations 20250601,WC_ANN_IDW_Mosaic,West Coast Annual IDW 20250601,WC_ANN_IDW_20250601,West Coast Annual IDW 20250601
14,WC_TRI,WC_TRI_IDW.csv,cuberoot,WC_TRI_IDW,WC_TRI_IDW_Region,2000,Sample Locations,WC_TRI_IDW_Sample_Locations,West Coast,Triennial,20250601,Current,IDW,NMFS/Rutgers IDW Interpolation,Yes,US West Coast,West Coast,WC_TRI_Sample_Locations_20250601,West Coast Triennial Sample Locations 20250601,WC_TRI_IDW_Mosaic,West Coast Triennial IDW 20250601,WC_TRI_IDW_20250601,West Coast Triennial IDW 20250601
15,DisMAP_Regions,,,DisMAP_Regions,,0,,DisMAP_Regions,,,20250601,Current,,,,,,DisMAP_Regions_20250601,DisMAP Regions 20250601,,,,
16,Datasets,,,Datasets,,0,,,,,20250601,Current,,,,,,Datasets_20250601,Datasets 20250601,,,,
17,LayerSpeciesYearImageName,,,LayerSpeciesYearImageName,,0,,,,,20250601,Current,,,,,,,,,,,
18,Indicators,,,Indicators,,0,,Indicators,,,20250601,Current,,,,,,Indicators_20250601,Indicators 20250601,,,,
19,Species_Filter,,,Species_Filter,,0,,Species_Filter,,,20250601,Current,,,,,,Species_Filter_20250601,Species Filter 20250601,,,,
20,DisMAP_Survey_Info,,,DisMAP_Survey_Info,,0,,DisMAP_Survey_Info,,,20250601,Current,,,,,,DisMAP_Survey_Info_20250601,DisMAP Survey Info 20250601,,,,
21,SpeciesPersistenceIndicatorPercentileBin,,,SpeciesPersistenceIndicatorPercentileBin,,0,,SpeciesPersistenceIndicatorPercentileBin,,,20250601,Current,,,,,,SpeciesPersistenceIndicatorPercentileBin_20250601,Species Persistence Indicator Percentile Bin 20250601,,,,
22,SpeciesPersistenceIndicatorTrend,,,SpeciesPersistenceIndicatorTrend,,0,,SpeciesPersistenceIndicatorTrend,,,20250601,Current,,,,,,SpeciesPersistenceIndicatorTrend_20250601,Species Persistence Indicator Trend 20250601,,,,
